row_id,date,time,events,platforms,format,state,published_ids,caption,hashtags,caption_x,link_fb,link_ig,utm_campaign,utm_content,asset_files,manual_reason,notes
MC-04,2026-08-25,12:30,MC,"ig,fb",Single image,approved,"{""fb"":""1139242662602769_122119803069340130""}","Early bird's done. $24.99 from here.

The night hasn't changed: September 8, Marion Court Room, Lancaster, 6:30 to 8:30. Thirty people.

Link in bio.",#LancasterPA #LancasterEvents #SingleInLancaster #DowntownLancaster #LancasterNightlife #IRLDating #DatingAppFatigue #MeetInPerson #LancasterSingles #SpeedDating,"Early bird's done. $24.99 from here. The night hasn't changed: September 8, Marion Court Room, Lancaster, 6:30 to 8:30. Thirty people. Link in bio.",https://sparkdate.date/lp?eventId=WUaooYvOq0eC0D1QVCvQ&utm_source=Facebook&utm_medium=social&utm_campaign=MC_202608&utm_content=MC-04,https://sparkdate.date/lp?eventId=WUaooYvOq0eC0D1QVCvQ&utm_source=Instagram&utm_medium=social&utm_campaign=MC_202608&utm_content=MC-04,MC_202608,MC-04,"MC-04_1of4.jpg,MC-04_2of4.jpg,MC-04_3of4.jpg,MC-04_4of4.jpg",,No TikTok today - Tellus last-call owns tomorrow.  ** COLLISION: MC-4 and TL-5 are both 12:30 PM on Aug 25. Move one. **  |  RESOLVED 8/19: Aug 25 12:30pm collision with TL-5 -- user chose to keep MC-4 at 12:30pm and move TL-5 to 5:00pm instead.
TL-05,2026-08-25,17:00,TL,"ig,fb",Single image,approved,"{""fb"":""122119803549340130""}","Tomorrow. 6:30. Tellus360, 24 E King St, Lancaster.

Last call — link in bio.",#LancasterPA #LancasterEvents #SingleInLancaster #DowntownLancaster #LancasterNightlife #IRLDating #DatingAppFatigue #MeetInPerson #LancasterSingles #SpeedDating,"Tomorrow. 6:30. Tellus360, 24 E King St, Lancaster. Last call — link in bio.",https://sparkdate.date/lp?eventId=8E9WZTat32JyoUjWuIE7&utm_source=Facebook&utm_medium=social&utm_campaign=TL_202608&utm_content=TL-05,https://sparkdate.date/lp?eventId=8E9WZTat32JyoUjWuIE7&utm_source=Instagram&utm_medium=social&utm_campaign=TL_202608&utm_content=TL-05,TL_202608,TL-05,TL-05.jpg,,"Design-only.  ** COLLISION: MC-4 and TL-5 are both 12:30 PM on Aug 25. Move one. **  |  RESOLVED 8/19: moved from 12:30pm to 5:00pm per user decision, to resolve the collision with MC-4 (kept at 12:30pm)."
TL-06,2026-08-26,09:00,TL,"ig,fb",Single image,approved,"{""fb"":""122119803597340130""}","Tonight. Doors at 6:30. Tellus360, 24 E King St, Lancaster.

See you there.",#LancasterPA #LancasterEvents #SingleInLancaster #DowntownLancaster #LancasterNightlife #IRLDating #DatingAppFatigue #MeetInPerson #LancasterSingles #SpeedDating,"Tonight. Doors at 6:30. Tellus360, 24 E King St, Lancaster. See you there.",https://sparkdate.date/lp?eventId=8E9WZTat32JyoUjWuIE7&utm_source=Facebook&utm_medium=social&utm_campaign=TL_202608&utm_content=TL-06,https://sparkdate.date/lp?eventId=8E9WZTat32JyoUjWuIE7&utm_source=Instagram&utm_medium=social&utm_campaign=TL_202608&utm_content=TL-06,TL_202608,TL-06,"TL-06_1of2.jpg,TL-06_2of2_story.jpg",,EVENT DAY. Morning feed post.
TL-07,2026-08-26,6:30-8:30 PM,TL,ig_story,Story frames x6-8,pending,,"Live: door, room filling, cards on the table, wide shot, 3-5 on-camera testimonials.",#LancasterDating #SingleInLancaster #LancasterEvents #SparkDate,"Live: door, room filling, cards on the table, wide shot, 3-5 on-camera testimonials.",,https://sparkdate.date/lp?eventId=8E9WZTat32JyoUjWuIE7&utm_source=Instagram&utm_medium=social&utm_campaign=TL_202608&utm_content=TL-07,TL_202608,TL-07,,,Signed releases at check-in before any face goes to Stories.
MC-DARK,2026-08-27,-,MC,,NO POST,skipped,,Do not post Marion Court content. Tellus recap owns this day - let it land clean.,#LancasterDating #SingleInLancaster #DatingAppFatigue #SparkDate,Do not post Marion Court content. Tellus recap owns this day - let it land clean.,,,,MC-DARK,,,From the Marion Court plan.
TL-08,2026-08-27,12:30,TL,"ig,fb",Carousel from live capture,pending,,"Last night at Tellus360.

Thanks to everyone who came out. Next one's already in the works — follow to hear about it first.",#LancasterPA #LancasterEvents #SingleInLancaster #DowntownLancaster #LancasterNightlife #IRLDating #DatingAppFatigue #MeetInPerson #LancasterSingles #SpeedDating,Last night at Tellus360. Thanks to everyone who came out. Next one's already in the works — follow to hear about it first.,https://sparkdate.date/lp?eventId=8E9WZTat32JyoUjWuIE7&utm_source=Facebook&utm_medium=social&utm_campaign=TL_202608&utm_content=TL-08,https://sparkdate.date/lp?eventId=8E9WZTat32JyoUjWuIE7&utm_source=Instagram&utm_medium=social&utm_campaign=TL_202608&utm_content=TL-08,TL_202608,TL-08,,,"Shoot list for the night: door, room-full wide, cards close-up, two-shot conversation."
GG-09,2026-08-27,16:00,GG,"ig,fb","Carousel, 4 slides",pending,,"You don't have to walk in alone. Most people don't.

Bring a friend, split the nerves, meet twice as many people. August 31, Rittenhouse.",#PhillyDating #PhillyEvents #SingleInPhilly #RittenhouseSquare #PhillyNightlife #IRLDating #DatingAppFatigue #MeetInPerson #PhillySingles #SpeedDating,"You don't have to walk in alone. Most people don't. Bring a friend, split the nerves, meet twice as many people. August 31, Rittenhouse.",https://sparkdate.date/lp?eventId=HwXXG8HPLMLwaoBoNdXk&utm_source=Facebook&utm_medium=social&utm_campaign=GG_202608&utm_content=GG-09,https://sparkdate.date/lp?eventId=HwXXG8HPLMLwaoBoNdXk&utm_source=Instagram&utm_medium=social&utm_campaign=GG_202608&utm_content=GG-09,GG_202608,GG-09,,,In the design plan (dated Wed Aug 27) but absent from the v3 spine. Design-only slides.
GG-03,2026-08-28,17:00,GG,"ig,fb","Carousel, 4 slides",pending,,"Three days.

This is the room you'd be walking into on Monday. August 31, Good Good Things, Rittenhouse, 6:30.

Link in bio.",#PhillyDating #PhillyEvents #SingleInPhilly #RittenhouseSquare #IRLDating #MeetInPerson #PhillySingles #SpeedDating,"Three days. This is the room you'd be walking into on Monday. August 31, Good Good Things, Rittenhouse, 6:30. Link in bio.",https://sparkdate.date/lp?eventId=HwXXG8HPLMLwaoBoNdXk&utm_source=Facebook&utm_medium=social&utm_campaign=GG_202608&utm_content=GG-03,https://sparkdate.date/lp?eventId=HwXXG8HPLMLwaoBoNdXk&utm_source=Instagram&utm_medium=social&utm_campaign=GG_202608&utm_content=GG-03,GG_202608,GG-03,,,v3 Aug 28 'final push'. Caption verbatim from Full Campaign Aug 28.  ** DECIDED Aug 19 - PULLED: the design build slots a pulled frame here (IMG_9203/9204). Substitute from IMG_8859/8861/8862/8865/9001/9004/9005. **
MC-05,2026-08-29,17:00,MC,"ig,fb",Reel,pending,,"You're not bad at dating.

You're bad at texting a stranger for two weeks about nothing, waiting for one of you to suggest an actual plan, and watching it die when neither of you does.

That's not a you problem. That's the format.

September 8, Marion Court Room, Lancaster. Link in bio.",#LancasterDating #SingleInLancaster #DatingAppFatigue #IRLDating,"You're not bad at dating. You're bad at texting a stranger for two weeks about nothing, waiting for one of you to suggest an actual plan, and watching it die when neither of you does. That's not a you problem. That's the format.",https://sparkdate.date/lp?eventId=WUaooYvOq0eC0D1QVCvQ&utm_source=Facebook&utm_medium=social&utm_campaign=MC_202608&utm_content=MC-05,https://sparkdate.date/lp?eventId=WUaooYvOq0eC0D1QVCvQ&utm_source=Instagram&utm_medium=social&utm_campaign=MC_202608&utm_content=MC-05,MC_202608,MC-05,,,"Empathy first - no stats, no numbers."
GG-04,2026-08-30,17:00,GG,"ig,fb",Single image,pending,,"Tomorrow. 6:30. Good Good Things, 11 S 21st, Rittenhouse.

Last call - link in bio.",#PhillyDating #PhillyEvents #SingleInPhilly #RittenhouseSquare #IRLDating #MeetInPerson #PhillySingles #SpeedDating,"Tomorrow. 6:30. Good Good Things, 11 S 21st, Rittenhouse. Last call - link in bio.",https://sparkdate.date/lp?eventId=HwXXG8HPLMLwaoBoNdXk&utm_source=Facebook&utm_medium=social&utm_campaign=GG_202608&utm_content=GG-04,https://sparkdate.date/lp?eventId=HwXXG8HPLMLwaoBoNdXk&utm_source=Instagram&utm_medium=social&utm_campaign=GG_202608&utm_content=GG-04,GG_202608,GG-04,,,v3 Aug 30. Caption verbatim from Full Campaign Aug 30.
GG-05,2026-08-31,09:00,GG,"ig,fb",Single image,pending,,"Tonight. Doors at 6:30. Good Good Things, Rittenhouse.

See you there.",#PhillyDating #PhillyEvents #SingleInPhilly #RittenhouseSquare #IRLDating #MeetInPerson #PhillySingles #SpeedDating,"Tonight. Doors at 6:30. Good Good Things, Rittenhouse. See you there.",https://sparkdate.date/lp?eventId=HwXXG8HPLMLwaoBoNdXk&utm_source=Facebook&utm_medium=social&utm_campaign=GG_202608&utm_content=GG-05,https://sparkdate.date/lp?eventId=HwXXG8HPLMLwaoBoNdXk&utm_source=Instagram&utm_medium=social&utm_campaign=GG_202608&utm_content=GG-05,GG_202608,GG-05,,,EVENT DAY. Caption verbatim from Full Campaign Aug 31.
GG-06,2026-08-31,6:30-9:00 PM,GG,ig_story,Story frames x6-8,pending,,"Live frames: door, room filling, wide shot once going, the bar, one detail.",#PhillyDating #PhillyEvents #SparkDate,"Live frames: door, room filling, wide shot once going, the bar, one detail.",,https://sparkdate.date/lp?eventId=HwXXG8HPLMLwaoBoNdXk&utm_source=Instagram&utm_medium=social&utm_campaign=GG_202608&utm_content=GG-06,GG_202608,GG-06,,,CAPTURE PRIORITY: signed release at check-in + 3-5 on-camera testimonials. v3 says this single operational change is worth more than any post.
GG-07,2026-09-01,12:30,"GG,LX","ig,fb","Carousel, 4 slides",pending,,"Last night at Good Good Things, Philadelphia.

Thanks to everyone who came out. Two more coming, both Lancaster:

Marion Court Room - Tuesday, September 8.
Loxley's patio bar - Tuesday, September 22. Early bird $24.99 through the 7th.

Both in bio.",#LancasterDating #LancasterEvents #SparkDate,"Last night at Good Good Things, Philadelphia. Thanks to everyone who came out. Two more coming, both Lancaster: Marion Court Room - Tuesday, September 8. Loxley's patio bar - Tuesday, September 22. Early bird $24.99 through the 7th. Both in bio.",https://sparkdate.date/lp?eventId=WUaooYvOq0eC0D1QVCvQ&utm_source=Facebook&utm_medium=social&utm_campaign=GG-LX_202609&utm_content=GG-07,https://sparkdate.date/lp?eventId=WUaooYvOq0eC0D1QVCvQ&utm_source=Instagram&utm_medium=social&utm_campaign=GG-LX_202609&utm_content=GG-07,GG-LX_202609,GG-07,,,MERGED POST: this is both the GGT recap AND the Loxley's launch. Do NOT also schedule a separate GGT recap - they are the same slot.
MC-06,2026-09-02,12:30,MC,"ig,fb","Carousel, 4 slides",pending,,"Early bird's done. $24.99 from here.

Here's what that gets you: a room of 30 people who all decided to leave the house on a Tuesday to meet someone in person. Hosts who run the room so you're not stranded in a corner. A bar. Two hours.

22 people came to our first one. We've run three more since.

September 8, Marion Court Room. Link in bio.",#LancasterDating #SingleInLancaster #LancasterEvents #SparkDate,Early bird's done. $24.99 from here. Here's what that gets you: a room of 30 people who all decided to leave the house on a Tuesday to meet someone in person. Hosts who run the room so you're not stranded in a corner. A bar. Two hours.,https://sparkdate.date/lp?eventId=WUaooYvOq0eC0D1QVCvQ&utm_source=Facebook&utm_medium=social&utm_campaign=MC_202609&utm_content=MC-06,https://sparkdate.date/lp?eventId=WUaooYvOq0eC0D1QVCvQ&utm_source=Instagram&utm_medium=social&utm_campaign=MC_202609&utm_content=MC-06,MC_202609,MC-06,,,Slide 4 holds the '22 - Event 1' stat. See Flags tab re: 31 vs 22.
MC-07,2026-09-03,11:00,MC,"ig,fb","Carousel, 6 slides",pending,,"What actually happens, in order:

You get there, open a tab, get a drink. Nobody makes you do anything yet.

Then we sit you down for an icebreaker activity - with people we think you'll click with. It's low-stakes and it takes the pressure off. You laugh, or you don't, and either way you've now talked to someone.

Then open mingling. Go where you want.

Then the 7-minute rounds, at the end - once you already know half the room.

That's the whole thing. Most speed dating does that order backwards.

September 8, Marion Court Room, Lancaster. $24.99.",#LancasterDating #SingleInLancaster #SpeedDating #SparkDate,"What actually happens, in order: You get there, open a tab, get a drink. Nobody makes you do anything yet. Then we sit you down for an icebreaker activity - with people we think you'll click with. It's low-stakes and it takes the pressure off.",https://sparkdate.date/lp?eventId=WUaooYvOq0eC0D1QVCvQ&utm_source=Facebook&utm_medium=social&utm_campaign=MC_202609&utm_content=MC-07,https://sparkdate.date/lp?eventId=WUaooYvOq0eC0D1QVCvQ&utm_source=Instagram&utm_medium=social&utm_campaign=MC_202609&utm_content=MC-07,MC_202609,MC-07,,,HIGHEST-SAVE POST in the plan.
